npc_id,count
143401868791950,2
135824041824339,7
128752647442499,11
143104111345986,11
158473802207495,1
126055009624184,1
156252363796985,19
79360463802532,3
127468063326281,7
87750976725181,12
125986944495815,8
154350902493521,7
111476957098186,10
116491394031716,4
84919070814480,11
131211390115948,5
10238,67
113274004861049,2
143657618567261,2
103042425319643,4
150454179852384,13
70856763256933,5
153632646230274,4
146567341793627,39
124285541830854,5
138217778307200,6
148997636149580,32
128761247703190,2
84220200210728,36
113931889197165,28
133727006490746,6
142209605705981,4
69639828107408,6
54829391736921,2
146120935604319,19
86555609870625,36
110734686748809,7
121438784753792,1
82341,16
99697053016353,50
157699355853025,4
143675811553345,4
144748048089449,1
57768656834682,20
134183838556231,2
106253304799301,1
116714104398007,17
150757515018549,31
95104652374275,21
108705609609390,6
130250125475997,113
89500421832788,7
125894801686757,15
88796319281301,50
129250629783749,1
116170141675604,68
117850075361397,7
133789774405704,36
145042911547458,1
141298977562829,6
145834141089889,70
154314167427302,6
78246525755660,19
133770955976894,7
135762933633209,3
146120935604305,20
144428150386791,12
153154222428301,5
92967769280697,2
136696942678208,45
139712099189080,20
137357163950345,40
87424290771066,22
87000169062496,27
79673842384960,1
143380547690715,1
91871816470630,9
121013100007490,14
81382174879854,6
143340096856359,59
133484303970530,32
31093,1
126350723649725,4
87495827104022,4
85631,58
135103717695667,9
97783666278718,35
136487996580054,3
106119559053466,18
114000399757414,1
144472674251027,10
94931304566860,10
147988377702669,81
113652687397036,2
141177292214550,38
96231093350553,11
121459009360002,1
144116097052853,3
141010457358510,11
135162598867182,5
153665304523108,29
101642703429769,1
104773689884892,2
75458025689152,18
153350946803965,9
154692678119572,3
96610192883799,4
109491378135210,66
125269586534544,50
145997400821882,3
133746305118393,8
156406968951062,4
85367111368974,8
110799847448791,2
74648600457492,7
135819625799779,6
61139472367894,1
77510949904476,13
112179163574425,5
105555127865509,10
146718683881738,53
59429280129185,7
143778590695691,1
142612341715154,3
122786268819691,14
143447958450467,1
157222621265986,3
92065480667245,1
148343471739184,9
140171702546649,3
139437848916058,10
99773030465708,5
67671782576269,12
122440662405202,3
116333044498613,30
92012363546729,3
109318536356061,3
